TEB Technikum Gdańsk | SEKRETARIAT | ADRES | Aleja Grunwaldzka 103, 80-244 Gdańsk.
TEB Technikum Gdańsk | SEKRETARIAT | E-MAIL I TELEFON | gdansk@teb-edukacja.pl; 58 770 05 08.
TEB Technikum Gdańsk | SEKRETARIAT | GODZINY | Poniedziałek 7:00-15:30; wtorek 7:00-15:30; środa dzień wewnętrzny; czwartek 7:00-15:30; piątek 7:00-15:30; sobota-niedziela nieczynne.
TEB Technikum Gdańsk | PUNKT REKRUTACYJNY | TELEFON | 58 765 96 90.
TEB Technikum Gdańsk | PUNKT REKRUTACYJNY | GODZINY | Poniedziałek 9:00-17:00; wtorek 8:00-17:00; środa 9:00-17:00; czwartek 9:00-17:00; piątek 9:00-18:00; sobota 9:00-14:00; niedziela nieczynne.
TEB Liceum Gdańsk | SEKRETARIAT | ADRES | Aleja Grunwaldzka 103, 80-244 Gdańsk.
TEB Liceum Gdańsk | SEKRETARIAT | E-MAIL I TELEFON | lo.gdansk@teb-edukacja.pl; 58 770 05 06.
TEB Liceum Gdańsk | SEKRETARIAT | GODZINY | Poniedziałek 8:00-16:00; wtorek 8:00-16:00; środa dzień wewnętrzny; czwartek 8:00-16:00; piątek 8:00-16:00; sobota-niedziela nieczynne.
TEB Liceum Gdańsk | PUNKT REKRUTACYJNY | TELEFON | 58 765 96 90.
TEB Liceum Gdańsk | PUNKT REKRUTACYJNY | GODZINY | Poniedziałek 9:00-17:00; wtorek 8:00-17:00; środa 9:00-17:00; czwartek 9:00-17:00; piątek 9:00-18:00; sobota 9:00-14:00; niedziela nieczynne.
TEB Liceum Plastyczne Gdańsk | SEKRETARIAT | ADRES | Aleja Grunwaldzka 103, 80-244 Gdańsk.
TEB Liceum Plastyczne Gdańsk | SEKRETARIAT | E-MAIL I TELEFON | lsp.gdansk@teb-edukacja.pl; 58 785 30 10.
TEB Liceum Plastyczne Gdańsk | SEKRETARIAT | GODZINY | Poniedziałek 8:00-16:00; wtorek 8:00-16:00; środa dzień wewnętrzny; czwartek 8:00-16:00; piątek 8:00-16:00; sobota-niedziela nieczynne.
TEB Liceum Plastyczne Gdańsk | PUNKT REKRUTACYJNY | TELEFON | 58 765 96 90.
TEB Liceum Plastyczne Gdańsk | PUNKT REKRUTACYJNY | GODZINY | Poniedziałek 9:00-17:00; wtorek 8:00-17:00; środa 9:00-17:00; czwartek 9:00-17:00; piątek 9:00-18:00; sobota 9:00-14:00; niedziela nieczynne.
