TEB Liceum Gdańsk | OFERTA | LICZBA | TEB Liceum Gdańsk ma 12 profili klas w aktualnej ofercie.
TEB Liceum Gdańsk | OFERTA PROFILI | Klasa media i komunikacja; Klasa prawnicza; Klasa marketing i kreacja; Klasa filmowa; Klasa aranżacja wnętrz; Klasa medyczno-ratownicza; Klasa stylizacja i wizerunek; Klasa projektowania graficznego; Klasa kosmetologiczna; Klasa językowa; Klasa kryminalistyczna; Klasa psychologiczna.
TEB Liceum Gdańsk | Klasa media i komunikacja | DOSTĘPNOŚĆ | Profil znajduje się w aktualnej ofercie TEB Liceum Gdańsk.
TEB Liceum Gdańsk | Klasa prawnicza | DOSTĘPNOŚĆ | Profil znajduje się w aktualnej ofercie TEB Liceum Gdańsk.
TEB Liceum Gdańsk | Klasa marketing i kreacja | DOSTĘPNOŚĆ | Profil znajduje się w aktualnej ofercie TEB Liceum Gdańsk.
TEB Liceum Gdańsk | Klasa filmowa | DOSTĘPNOŚĆ | Profil znajduje się w aktualnej ofercie TEB Liceum Gdańsk.
TEB Liceum Gdańsk | Klasa aranżacja wnętrz | DOSTĘPNOŚĆ | Profil znajduje się w aktualnej ofercie TEB Liceum Gdańsk.
TEB Liceum Gdańsk | Klasa medyczno-ratownicza | DOSTĘPNOŚĆ | Profil znajduje się w aktualnej ofercie TEB Liceum Gdańsk.
TEB Liceum Gdańsk | Klasa stylizacja i wizerunek | DOSTĘPNOŚĆ | Profil znajduje się w aktualnej ofercie TEB Liceum Gdańsk.
TEB Liceum Gdańsk | Klasa projektowania graficznego | DOSTĘPNOŚĆ | Profil znajduje się w aktualnej ofercie TEB Liceum Gdańsk.
TEB Liceum Gdańsk | Klasa kosmetologiczna | DOSTĘPNOŚĆ | Profil znajduje się w aktualnej ofercie TEB Liceum Gdańsk.
TEB Liceum Gdańsk | Klasa językowa | DOSTĘPNOŚĆ | Profil znajduje się w aktualnej ofercie TEB Liceum Gdańsk.
TEB Liceum Gdańsk | Klasa kryminalistyczna | DOSTĘPNOŚĆ | Profil znajduje się w aktualnej ofercie TEB Liceum Gdańsk.
TEB Liceum Gdańsk | Klasa psychologiczna | DOSTĘPNOŚĆ | Profil znajduje się w aktualnej ofercie TEB Liceum Gdańsk.
