TEB Technikum Gdańsk | OFERTA | LICZBA | Oficjalna strona pokazuje 16 kart oferty kierunków i wariantów klas.
TEB Technikum Gdańsk | OFERTA KIERUNKÓW I WARIANTÓW | Technik cyberbezpieczeństwa; Technik robotyk; Technik stylista; Technik lotniskowych służb operacyjnych; Technik elektryk; Technik programista ze spec. Sztuczna inteligencja — wariant 1; Technik logistyk; Technik usług fryzjerskich; Technik organizacji turystyki spec. event manager; Technik informatyk - cyberbezpieczeństwo; Technik programista spec. projektowanie gier; Technik programista ze spec. Sztuczna inteligencja — wariant 2; Technik informatyk i E-SPORT; Technik fotografii i multimediów; Technik weterynarii; Technik reklamy – grafika i media społecznościowe.
TEB Technikum Gdańsk | Technik cyberbezpieczeństwa | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik robotyk | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik stylista | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik lotniskowych służb operacyjnych | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik elektryk | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik programista ze spec. Sztuczna inteligencja | DOSTĘPNOŚĆ | Na oficjalnej stronie występują dwie osobne karty tej oferty; dlatego baza rozróżnia je jako dwa warianty, a nie jako dwa różne zawody.
TEB Technikum Gdańsk | Technik logistyk | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik usług fryzjerskich | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik organizacji turystyki spec. event manager | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik informatyk - cyberbezpieczeństwo | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik programista spec. projektowanie gier | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik informatyk i E-SPORT | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik fotografii i multimediów | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik weterynarii | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
TEB Technikum Gdańsk | Technik reklamy – grafika i media społecznościowe | DOSTĘPNOŚĆ | Kierunek znajduje się w aktualnej ofercie TEB Technikum Gdańsk.
